T	FPT
3.134634634634635e-05	0.0
3.138138138138139e-05	0.0
3.141641641641642e-05	0.0
3.145145145145146e-05	0.0
3.1486486486486495e-05	0.0
3.152152152152152e-05	0.0
3.155655655655656e-05	0.0
3.1591591591591595e-05	0.0
3.162662662662663e-05	0.0
3.1661661661661666e-05	0.0
3.16966966966967e-05	0.0
3.173173173173174e-05	0.0
3.176676676676677e-05	0.0
3.180180180180181e-05	0.0
3.1836836836836844e-05	0.0
3.187187187187188e-05	0.0
3.190690690690691e-05	0.0
3.1941941941941944e-05	0.0
3.197697697697698e-05	0.0
3.2012012012012015e-05	0.0
3.204704704704705e-05	0.0
3.208208208208209e-05	0.0
3.211711711711712e-05	0.0
3.215215215215216e-05	0.0
3.2187187187187194e-05	0.0
3.222222222222223e-05	0.0
3.2257257257257265e-05	0.0
3.22922922922923e-05	0.0
3.232732732732733e-05	0.0
3.2362362362362365e-05	0.0
3.23973973973974e-05	0.0
3.2432432432432436e-05	0.0
3.246746746746747e-05	0.0
3.250250250250251e-05	0.0
3.253753753753754e-05	0.0
3.257257257257258e-05	0.0
3.2607607607607614e-05	0.0
3.264264264264265e-05	0.0
3.2677677677677686e-05	0.0
3.271271271271272e-05	0.0
3.274774774774775e-05	0.0
3.2782782782782786e-05	0.0
3.281781781781782e-05	0.0
3.285285285285286e-05	0.0
3.288788788788789e-05	0.0
3.292292292292293e-05	0.0
3.2957957957957964e-05	0.0
3.2992992992993e-05	0.0
3.3028028028028035e-05	0.0
3.306306306306307e-05	0.0
3.3098098098098106e-05	0.0
3.3133133133133135e-05	0.0
3.316816816816817e-05	0.0
3.3203203203203206e-05	0.0
3.323823823823824e-05	0.0
3.327327327327328e-05	0.0
3.330830830830831e-05	0.0
3.334334334334335e-05	0.0
3.3378378378378385e-05	0.0
3.341341341341342e-05	0.0
3.3448448448448456e-05	0.0
3.348348348348349e-05	0.0
3.351851851851853e-05	0.0
3.3553553553553556e-05	0.0
3.358858858858859e-05	0.0
3.362362362362363e-05	0.0
3.365865865865866e-05	0.0
3.36936936936937e-05	0.0
3.3728728728728734e-05	0.0
3.376376376376377e-05	0.0
3.3798798798798805e-05	0.0
3.383383383383384e-05	0.0
3.386886886886888e-05	0.0
3.390390390390391e-05	0.0
3.393893893893894e-05	0.0
3.397397397397398e-05	0.0
3.400900900900901e-05	0.0
3.404404404404405e-05	0.0
3.4079079079079084e-05	0.0
3.411411411411412e-05	0.0
3.4149149149149155e-05	0.0
3.418418418418419e-05	0.0
3.4219219219219226e-05	0.0
3.425425425425426e-05	0.0
3.42892892892893e-05	0.0
3.432432432432433e-05	0.0
3.435935935935936e-05	0.0
3.43943943943944e-05	0.0
3.442942942942943e-05	0.0
3.446446446446447e-05	0.0
3.4499499499499504e-05	0.0
3.453453453453454e-05	0.0
3.4569569569569576e-05	0.0
3.460460460460461e-05	0.0
3.463963963963965e-05	0.0
3.467467467467468e-05	0.0
3.470970970970972e-05	0.0
3.474474474474475e-05	0.0
3.477977977977978e-05	0.0
3.481481481481482e-05	0.0
3.4849849849849854e-05	0.0
3.488488488488489e-05	0.0
3.4919919919919925e-05	0.0
