# ------------------ First Passage Time Distribution -----------------
TIME	FPTD
6.006183283283283e-09	0.029954365
6.016192392392392e-09	0.029901929
6.026201501501501e-09	0.029849768
6.03621061061061e-09	0.029797882
6.046219719719718e-09	0.02974627
6.056228828828828e-09	0.029694929
6.0662379379379374e-09	0.029643859
6.0762470470470466e-09	0.029593058
6.086256156156156e-09	0.029542525
6.096265265265264e-09	0.029492257
6.106274374374374e-09	0.029442255
6.116283483483483e-09	0.029392516
6.126292592592591e-09	0.029343039
6.136301701701701e-09	0.029293823
6.14631081081081e-09	0.029244865
6.1563199199199196e-09	0.029196166
6.166329029029029e-09	0.029147723
6.176338138138137e-09	0.029099536
6.186347247247247e-09	0.029051602
6.196356356356356e-09	0.029003921
6.206365465465464e-09	0.028956491
6.216374574574574e-09	0.028909311
6.226383683683683e-09	0.028862379
6.2363927927927926e-09	0.028815695
6.246401901901902e-09	0.028769256
6.25641101101101e-09	0.028723062
6.26642012012012e-09	0.028677111
6.276429229229228e-09	0.028631403
6.286438338338337e-09	0.028585935
6.296447447447447e-09	0.028540707
6.306456556556556e-09	0.028495717
6.3164656656656656e-09	0.028450964
6.326474774774774e-09	0.028406447
6.336483883883883e-09	0.028362164
6.346492992992993e-09	0.028318115
6.356502102102101e-09	0.028274297
6.36651121121121e-09	0.028230711
6.3765203203203195e-09	0.028187354
6.386529429429429e-09	0.028144225
6.3965385385385386e-09	0.028101323
6.406547647647647e-09	0.028058648
6.416556756756756e-09	0.028016197
6.426565865865865e-09	0.027973971
6.436574974974974e-09	0.027931966
6.446584084084083e-09	0.027890183
6.4565931931931925e-09	0.027848619
6.466602302302302e-09	0.027807275
6.476611411411411e-09	0.027766149
6.48662052052052e-09	0.027725239
6.496629629629629e-09	0.027684545
6.506638738738738e-09	0.027644065
6.516647847847847e-09	0.027603798
6.5266569569569555e-09	0.027563743
6.5366660660660655e-09	0.0275239
6.546675175175175e-09	0.027484266
6.556684284284284e-09	0.027444841
6.566693393393393e-09	0.027405624
6.576702502502501e-09	0.027366613
6.586711611611611e-09	0.027327808
6.59672072072072e-09	0.027289207
6.6067298298298285e-09	0.02725081
6.6167389389389385e-09	0.027212615
6.626748048048047e-09	0.027174621
6.636757157157157e-09	0.027136827
6.646766266266266e-09	0.027099232
6.656775375375374e-09	0.027061835
6.666784484484484e-09	0.027024636
6.6767935935935924e-09	0.026987632
6.6868027027027015e-09	0.026950823
6.6968118118118115e-09	0.026914208
6.70682092092092e-09	0.026877786
6.71683003003003e-09	0.026841556
6.726839139139138e-09	0.026805517
6.736848248248247e-09	0.026769667
6.746857357357357e-09	0.026734007
6.7568664664664654e-09	0.026698534
6.7668755755755745e-09	0.026663248
6.7768846846846845e-09	0.026628148
6.786893793793793e-09	0.026593233
6.796902902902903e-09	0.026558501
6.806912012012011e-09	0.026523953
6.81692112112112e-09	0.026489587
6.82693023023023e-09	0.026455402
6.8369393393393384e-09	0.026421396
6.8469484484484475e-09	0.02638757
6.856957557557557e-09	0.026353922
6.866966666666666e-09	0.026320452
6.876975775775776e-09	0.026287157
6.886984884884884e-09	0.026254039
6.896993993993993e-09	0.026221094
6.907003103103102e-09	0.026188323
6.9170122122122114e-09	0.026155725
6.927021321321321e-09	0.026123298
6.93703043043043e-09	0.026091043
6.947039539539539e-09	0.026058957
6.957048648648648e-09	0.02602704
6.967057757757757e-09	0.025995291
6.977066866866866e-09	0.02596371
6.987075975975975e-09	0.025932295
6.9970850850850844e-09	0.025901045
7.007094194194193e-09	0.02586996
7.017103303303303e-09	0.025839039
7.027112412412412e-09	0.02580828
7.037121521521521e-09	0.025777684
7.04713063063063e-09	0.025747249
7.057139739739738e-09	0.025716974
7.067148848848848e-09	0.025686859
7.0771579579579574e-09	0.025656902
7.087167067067066e-09	0.025627103
7.097176176176176e-09	0.025597461
7.107185285285284e-09	0.025567975
7.117194394394394e-09	0.025538645
7.127203503503503e-09	0.025509469
7.137212612612611e-09	0.025480447
7.147221721721721e-09	0.025451577
7.15723083083083e-09	0.02542286
7.167239939939939e-09	0.025394294
7.177249049049049e-09	0.025365878
7.187258158158157e-09	0.025337612
7.197267267267267e-09	0.025309495
7.207276376376375e-09	0.025281526
7.217285485485484e-09	0.025253705
7.227294594594594e-09	0.02522603
7.237303703703703e-09	0.025198501
7.2473128128128126e-09	0.025171116
7.257321921921921e-09	0.025143877
7.26733103103103e-09	0.02511678
7.27734014014014e-09	0.025089826
7.287349249249248e-09	0.025063015
7.297358358358357e-09	0.025036344
7.3073674674674665e-09	0.025009814
7.317376576576576e-09	0.024983424
7.3273856856856856e-09	0.024957173
7.337394794794794e-09	0.02493106
7.347403903903903e-09	0.024905084
7.357413013013013e-09	0.024879246
7.367422122122121e-09	0.024853543
7.37743123123123e-09	0.024827976
7.3874403403403395e-09	0.024802544
7.397449449449449e-09	0.024777245
7.4074585585585586e-09	0.02475208
7.417467667667667e-09	0.024727048
7.427476776776776e-09	0.024702147
7.437485885885885e-09	0.024677377
7.447494994994994e-09	0.024652738
7.457504104104103e-09	0.024628229
7.467513213213212e-09	0.024603849
7.477522322322322e-09	0.024579597
7.48753143143143e-09	0.024555473
7.49754054054054e-09	0.024531476
7.507549649649649e-09	0.024507606
7.517558758758758e-09	0.024483861
7.527567867867867e-09	0.024460241
7.537576976976976e-09	0.024436746
7.547586086086085e-09	0.024413375
7.557595195195195e-09	0.024390126
7.567604304304304e-09	0.024367
7.577613413413413e-09	0.024343996
7.587622522522522e-09	0.024321113
7.597631631631631e-09	0.024298351
7.60764074074074e-09	0.024275708
7.61764984984985e-09	0.024253185
7.627658958958958e-09	0.024230781
7.637668068068068e-09	0.024208494
7.647677177177177e-09	0.024186325
7.657686286286286e-09	0.024164273
7.667695395395395e-09	0.024142337
7.677704504504504e-09	0.024120516
7.687713613613613e-09	0.02409881
7.697722722722722e-09	0.024077219
7.707731831831831e-09	0.024055741
7.71774094094094e-09	0.024034377
7.72775005005005e-09	0.024013125
7.737759159159157e-09	0.023991985
7.747768268268268e-09	0.023970956
7.757777377377377e-09	0.023950038
7.767786486486486e-09	0.023929231
7.777795595595595e-09	0.023908533
7.787804704704703e-09	0.023887944
7.797813813813814e-09	0.023867463
7.807822922922923e-09	0.02384709
7.81783203203203e-09	0.023826825
7.827841141141141e-09	0.023806666
7.837850250250248e-09	0.023786614
7.84785935935936e-09	0.023766667
7.857868468468468e-09	0.023746826
7.867877577577576e-09	0.023727088
7.877886686686687e-09	0.023707455
7.887895795795796e-09	0.023687925
7.897904904904903e-09	0.023668498
7.907914014014014e-09	0.023649174
7.917923123123121e-09	0.023629951
7.927932232232232e-09	0.02361083
7.937941341341341e-09	0.023591809
7.947950450450449e-09	0.023572888
7.95795955955956e-09	0.023554067
7.967968668668667e-09	0.023535345
7.977977777777776e-09	0.023516722
7.987986886886887e-09	0.023498197
7.997995995995994e-09	0.02347977
8.008005105105105e-09	0.023461439
8.018014214214214e-09	0.023443205
8.028023323323323e-09	0.023425068
8.038032432432433e-09	0.023407025
8.04804154154154e-09	0.023389078
8.05805065065065e-09	0.023371225
8.06805975975976e-09	0.023353467
8.078068868868869e-09	0.023335802
8.088077977977978e-09	0.02331823
8.098087087087086e-09	0.02330075
8.108096196196195e-09	0.023283363
8.118105305305306e-09	0.023266067
